SessionTime, Double, Seconds since session start, s, 1
AirPressure, Float, Pressure of air at start/finish line, Pa, 1
WindVel, Float, Wind velocity at start/finish line, m/s, 1
WindDir, Float, Wind direction at start/finish line, rad, 1
RelativeHumidity, Float, Relative Humidity at start/finish line, %, 1
FogLevel, Float, Fog level at start/finish line, %, 1
Precipitation, Float, Precipitation at start/finish line, %, 1
SolarAltitude, Float, Sun angle above horizon in radians, rad, 1
SolarAzimuth, Float, Sun angle clockwise from north in radians, rad, 1
WeatherDeclaredWet, Bool, The steward says rain tires can be used, , 1
SteeringFFBEnabled, Bool, Force feedback is enabled, , 1
DCLapStatus, Int, Status of driver change lap requirements, , 1
DCDriversSoFar, Int, Number of team drivers who have run a stint, , 1
OkToReloadTextures, Bool, True if it is ok to reload car textures at this time, , 1
LoadNumTextures, Bool, True if the car_num texture will be loaded, , 1
CarLeftRight, Int, Notify if car is to the left or right of driver, irsdk_CarLeftRight, 1
PitsOpen, Bool, True if pit stop is allowed for the current player, , 1
VidCapEnabled, Bool, True if video capture system is enabled, , 1
VidCapActive, Bool, True if video currently being captured, , 1
PitRepairLeft, Float, Time left for mandatory pit repairs if repairs are active, s, 1
PitOptRepairLeft, Float, Time left for optional repairs if repairs are active, s, 1
PitstopActive, Bool, Is the player getting pit stop service, , 1
FastRepairUsed, Int, How many fast repairs used so far, , 1
FastRepairAvailable, Int, How many fast repairs left  255 is unlimited, , 1
LFTiresUsed, Int, How many left front tires used so far, , 1
RFTiresUsed, Int, How many right front tires used so far, , 1
LRTiresUsed, Int, How many left rear tires used so far, , 1
RRTiresUsed, Int, How many right rear tires used so far, , 1
LeftTireSetsUsed, Int, How many left tire sets used so far, , 1
RightTireSetsUsed, Int, How many right tire sets used so far, , 1
FrontTireSetsUsed, Int, How many front tire sets used so far, , 1
RearTireSetsUsed, Int, How many rear tire sets used so far, , 1
TireSetsUsed, Int, How many tire sets used so far, , 1
LFTiresAvailable, Int, How many left front tires are remaining  255 is unlimited, , 1
RFTiresAvailable, Int, How many right front tires are remaining  255 is unlimited, , 1
LRTiresAvailable, Int, How many left rear tires are remaining  255 is unlimited, , 1
RRTiresAvailable, Int, How many right rear tires are remaining  255 is unlimited, , 1
LeftTireSetsAvailable, Int, How many left tire sets are remaining  255 is unlimited, , 1
RightTireSetsAvailable, Int, How many right tire sets are remaining  255 is unlimited, , 1
FrontTireSetsAvailable, Int, How many front tire sets are remaining  255 is unlimited, , 1
RearTireSetsAvailable, Int, How many rear tire sets are remaining  255 is unlimited, , 1
TireSetsAvailable, Int, How many tire sets are remaining  255 is unlimited, , 1
CamCarIdx, Int, Active camera's focus car index, , 1
CamCameraNumber, Int, Active camera number, , 1
CamGroupNumber, Int, Active camera group number, , 1
CamCameraState, BitField, State of camera system, irsdk_CameraState, 1
IsOnTrackCar, Bool, 1=Car on track physics running, , 1
IsInGarage, Bool, 1=Car in garage physics running, , 1
SteeringWheelAngleMax, Float, Steering wheel max angle, rad, 1
ShiftPowerPct, Float, Friction torque applied to gears when shifting or grinding, %, 1
ShiftGrindRPM, Float, RPM of shifter grinding noise, RPM, 1
ThrottleRaw, Float, Raw throttle input 0=off throttle to 1=full throttle, %, 1
BrakeRaw, Float, Raw brake input 0=brake released to 1=max pedal force, %, 1
ClutchRaw, Float, Raw clutch input 0=disengaged to 1=fully engaged, %, 1
HandbrakeRaw, Float, Raw handbrake input 0=handbrake released to 1=max force, %, 1
BrakeABSactive, Bool, true if abs is currently reducing brake force pressure, , 1
EngineWarnings, BitField, Bitfield for warning lights, irsdk_EngineWarnings, 1
FuelLevelPct, Float, Percent fuel remaining, %, 1
PitSvFlags, BitField, Bitfield of pit service checkboxes, irsdk_PitSvFlags, 1
PitSvLFP, Float, Pit service left front tire pressure, kPa, 1
PitSvRFP, Float, Pit service right front tire pressure, kPa, 1
PitSvLRP, Float, Pit service left rear tire pressure, kPa, 1
PitSvRRP, Float, Pit service right rear tire pressure, kPa, 1
PitSvFuel, Float, Pit service fuel add amount, l or kWh, 1
PitSvTireCompound, Int, Pit service pending tire compound, , 1
CarIdxP2P_Status, Bool, Push2Pass active or not, , 64
CarIdxP2P_Count, Int, Push2Pass count of usage (or remaining in Race), , 64
P2P_Status, Bool, Push2Pass active or not on your car, , 1
P2P_Count, Int, Push2Pass count of usage (or remaining in Race) on your car, , 1
SteeringWheelPctTorque, Float, Force feedback % max torque on steering shaft unsigned, %, 1
SteeringWheelPctTorqueSign, Float, Force feedback % max torque on steering shaft signed, %, 1
SteeringWheelPctTorqueSignStops, Float, Force feedback % max torque on steering shaft signed stops, %, 1
SteeringWheelPctIntensity, Float, Force feedback % max intensity, %, 1
SteeringWheelPctSmoothing, Float, Force feedback % max smoothing, %, 1
SteeringWheelPctDamper, Float, Force feedback % max damping, %, 1
SteeringWheelLimiter, Float, Force feedback limiter strength limits impacts and oscillation, %, 1
SteeringWheelMaxForceNm, Float, Value of strength or max force slider in Nm for FFB, N*m, 1
SteeringWheelPeakForceNm, Float, Peak torque mapping to direct input units for FFB, N*m, 1
SteeringWheelUseLinear, Bool, True if steering wheel force is using linear mode, , 1
ShiftIndicatorPct, Float, DEPRECATED use DriverCarSLBlinkRPM instead, %, 1
ReplayPlaySpeed, Int, Replay playback speed, , 1
ReplayPlaySlowMotion, Bool, 0=not slow motion  1=replay is in slow motion, , 1
ReplaySessionTime, Double, Seconds since replay session start, s, 1
ReplaySessionNum, Int, Replay session number, , 1
TireLF_RumblePitch, Float, Players LF Tire Sound rumblestrip pitch, Hz, 1
TireRF_RumblePitch, Float, Players RF Tire Sound rumblestrip pitch, Hz, 1
TireLR_RumblePitch, Float, Players LR Tire Sound rumblestrip pitch, Hz, 1
TireRR_RumblePitch, Float, Players RR Tire Sound rumblestrip pitch, Hz, 1
IsGarageVisible, Bool, 1=Garage screen is visible, , 1
SteeringWheelTorque_ST, Float, Output torque on steering shaft at 360 Hz, N*m, 6
SteeringWheelTorque, Float, Output torque on steering shaft, N*m, 1
VelocityZ_ST, Float, Z velocity, m/s at 360 Hz, 6
VelocityY_ST, Float, Y velocity, m/s at 360 Hz, 6
VelocityX_ST, Float, X velocity, m/s at 360 Hz, 6
VelocityZ, Float, Z velocity, m/s, 1
VelocityY, Float, Y velocity, m/s, 1
VelocityX, Float, X velocity, m/s, 1
YawRate_ST, Float, Yaw rate at 360 Hz, rad/s, 6
PitchRate_ST, Float, Pitch rate at 360 Hz, rad/s, 6
RollRate_ST, Float, Roll rate at 360 Hz, rad/s, 6
YawRate, Float, Yaw rate, rad/s, 1
PitchRate, Float, Pitch rate, rad/s, 1
RollRate, Float, Roll rate, rad/s, 1
VertAccel_ST, Float, Vertical acceleration (including gravity) at 360 Hz, m/s^2, 6
LatAccel_ST, Float, Lateral acceleration (including gravity) at 360 Hz, m/s^2, 6
LongAccel_ST, Float, Longitudinal acceleration (including gravity) at 360 Hz, m/s^2, 6
VertAccel, Float, Vertical acceleration (including gravity), m/s^2, 1
LatAccel, Float, Lateral acceleration (including gravity), m/s^2, 1
LongAccel, Float, Longitudinal acceleration (including gravity), m/s^2, 1
dcStarter, Bool, In car trigger car starter, , 1
dcPitSpeedLimiterToggle, Bool, Track if pit speed limiter system is enabled, , 1
dpRFTireChange, Float, Pitstop rf tire change request, , 1
dpLFTireChange, Float, Pitstop lf tire change request, , 1
dpRRTireChange, Float, Pitstop rr tire change request, , 1
dpLRTireChange, Float, Pitstop lr tire change request, , 1
dpFuelFill, Float, Pitstop fuel fill flag, , 1
dpFuelAutoFillEnabled, Float, Pitstop auto fill fuel system enabled, , 1
dpFuelAutoFillActive, Float, Pitstop auto fill fuel next stop flag, , 1
dpWindshieldTearoff, Float, Pitstop windshield tearoff, , 1
dpFuelAddKg, Float, Pitstop fuel add amount, kg, 1
dpFastRepair, Float, Pitstop fast repair set, , 1
dpLFTireColdPress, Float, Pitstop lf tire cold pressure adjustment, Pa, 1
dpRFTireColdPress, Float, Pitstop rf cold tire pressure adjustment, Pa, 1
dpLRTireColdPress, Float, Pitstop lr tire cold pressure adjustment, Pa, 1
dpRRTireColdPress, Float, Pitstop rr cold tire pressure adjustment, Pa, 1
dcToggleWindshieldWipers, Bool, In car turn wipers on or off, , 1
dcTriggerWindshieldWipers, Bool, In car momentarily turn on wipers, , 1
FuelUsePerHour, Float, Engine fuel used instantaneous, kg/h, 1
Voltage, Float, Engine voltage, V, 1
WaterTemp, Float, Engine coolant temp, C, 1
WaterLevel, Float, Engine coolant level, l, 1
FuelPress, Float, Engine fuel pressure, bar, 1
OilTemp, Float, Engine oil temperature, C, 1
OilPress, Float, Engine oil pressure, bar, 1
OilLevel, Float, Engine oil level, l, 1
ManifoldPress, Float, Engine manifold pressure, bar, 1
FuelLevel, Float, Liters of fuel remaining, l, 1
Engine0_RPM, Float, Engine0Engine rpm, revs/min, 1
RFbrakeLinePress, Float, RF brake line pressure, bar, 1
RFcoldPressure, Float, RF tire cold pressure  as set in the garage, kPa, 1
RFtempCL, Float, RF tire left carcass temperature, C, 1
RFtempCM, Float, RF tire middle carcass temperature, C, 1
RFtempCR, Float, RF tire right carcass temperature, C, 1
RFwearL, Float, RF tire left percent tread remaining, %, 1
RFwearM, Float, RF tire middle percent tread remaining, %, 1
RFwearR, Float, RF tire right percent tread remaining, %, 1
LFbrakeLinePress, Float, LF brake line pressure, bar, 1
LFcoldPressure, Float, LF tire cold pressure  as set in the garage, kPa, 1
LFtempCL, Float, LF tire left carcass temperature, C, 1
LFtempCM, Float, LF tire middle carcass temperature, C, 1
LFtempCR, Float, LF tire right carcass temperature, C, 1
LFwearL, Float, LF tire left percent tread remaining, %, 1
LFwearM, Float, LF tire middle percent tread remaining, %, 1
LFwearR, Float, LF tire right percent tread remaining, %, 1
RRbrakeLinePress, Float, RR brake line pressure, bar, 1
RRcoldPressure, Float, RR tire cold pressure  as set in the garage, kPa, 1
RRtempCL, Float, RR tire left carcass temperature, C, 1
RRtempCM, Float, RR tire middle carcass temperature, C, 1
RRtempCR, Float, RR tire right carcass temperature, C, 1
RRwearL, Float, RR tire left percent tread remaining, %, 1
RRwearM, Float, RR tire middle percent tread remaining, %, 1
RRwearR, Float, RR tire right percent tread remaining, %, 1
LRbrakeLinePress, Float, LR brake line pressure, bar, 1
LRcoldPressure, Float, LR tire cold pressure  as set in the garage, kPa, 1
LRtempCL, Float, LR tire left carcass temperature, C, 1
LRtempCM, Float, LR tire middle carcass temperature, C, 1
LRtempCR, Float, LR tire right carcass temperature, C, 1
LRwearL, Float, LR tire left percent tread remaining, %, 1
LRwearM, Float, LR tire middle percent tread remaining, %, 1
LRwearR, Float, LR tire right percent tread remaining, %, 1
LRshockDefl, Float, LR shock deflection, m, 1
LRshockDefl_ST, Float, LR shock deflection at 360 Hz, m, 6
LRshockVel, Float, LR shock velocity, m/s, 1
LRshockVel_ST, Float, LR shock velocity at 360 Hz, m/s, 6
RRshockDefl, Float, RR shock deflection, m, 1
RRshockDefl_ST, Float, RR shock deflection at 360 Hz, m, 6
RRshockVel, Float, RR shock velocity, m/s, 1
RRshockVel_ST, Float, RR shock velocity at 360 Hz, m/s, 6
LFshockDefl, Float, LF shock deflection, m, 1
LFshockDefl_ST, Float, LF shock deflection at 360 Hz, m, 6
LFshockVel, Float, LF shock velocity, m/s, 1
LFshockVel_ST, Float, LF shock velocity at 360 Hz, m/s, 6
RFshockDefl, Float, RF shock deflection, m, 1
RFshockDefl_ST, Float, RF shock deflection at 360 Hz, m, 6
RFshockVel, Float, RF shock velocity, m/s, 1
RFshockVel_ST, Float, RF shock velocity at 360 Hz, m/s, 6
